url_path,views_total,views_unique
/maziggy/bambuddy,4765,2578
/maziggy/bambuddy/issues,1675,423
/maziggy/bambuddy/releases,510,272
/maziggy/bambuddy/pulls,309,137
/maziggy/bambuddy/releases/tag/v0.2.4.3,173,134
/maziggy/bambuddy/releases/tag/v0.2.4.4,142,122
/maziggy/bambuddy/blob/main/docker-compose.yml,142,92
/maziggy/bambuddy/releases/tag/v0.2.4.2,139,103
/maziggy/bambuddy/blob/main/docs/images/proxy-mode-diagram.png,118,111
/maziggy/bambuddy/pull/1505,114,10
