referrer,views_total,views_unique
bambuddy.cool,1854,931
Google,1674,766
hackaday.com,1357,929
github.com,1172,287
wiki.bambuddy.cool,436,171
DuckDuckGo,214,111
Bing,203,76
china-gadgets.de,194,155
youtube.com,153,86
itsfoss.com,125,85
