referrer,views_total,views_unique
bambuddy.cool,1853,918
Google,1620,749
github.com,1092,279
hackaday.com,1046,746
wiki.bambuddy.cool,452,182
Bing,127,51
DuckDuckGo,126,68
itsfoss.com,120,84
youtube.com,105,57
search.brave.com,88,41
