referrer,views_total,views_unique
bambuddy.cool,1857,931
Google,1753,785
hackaday.com,1398,947
github.com,1069,286
wiki.bambuddy.cool,414,169
china-gadgets.de,292,227
DuckDuckGo,214,113
Bing,203,82
youtube.com,161,89
itsfoss.com,129,86
