referrer,views_total,views_unique
bambuddy.cool,1771,914
Google,1669,749
hackaday.com,1451,969
github.com,987,281
china-gadgets.de,446,320
wiki.bambuddy.cool,368,151
Bing,225,88
DuckDuckGo,202,115
youtube.com,161,91
itsfoss.com,72,44
