referrer,views_total,views_unique
bambuddy.cool,1404,724
Google,1395,617
github.com,968,255
china-gadgets.de,503,353
hackaday.com,390,228
wiki.bambuddy.cool,372,139
DuckDuckGo,174,98
Bing,163,70
youtube.com,92,57
blog.adafruit.com,66,40
