referrer,views_total,views_unique
bambuddy.cool,1327,654
Google,1061,513
github.com,861,237
wiki.bambuddy.cool,372,136
china-gadgets.de,247,163
hackaday.com,178,90
DuckDuckGo,112,63
Bing,91,49
search.brave.com,44,27
forum.bambuddy.cool,43,7
