referrer,views_total,views_unique
bambuddy.cool,1868,963
Google,1642,740
github.com,1098,273
hackaday.com,777,564
wiki.bambuddy.cool,469,183
Bing,130,50
itsfoss.com,113,78
DuckDuckGo,105,60
youtube.com,95,45
search.brave.com,85,40
